job_candidate_id,learner_id,job_post_id,candidate_pool_id,candidate_status,source,resume_id,other_documenet_path,other_document_name,other_document_type,other_document_size,is_archived,job_candidate_tag_id,created_by,created_at,updated_by,updated_at
JC38D7D2EA35FA429C,LNR-202609332,JOB-202600558,POOL-0001,rejected,direct_apply,RSM1A4D35663D384C7E,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC1876423557EC4563,LNR-202607676,JOB-202600163,POOL-0002,interview,direct_apply,RSM6073EC4D89D3442A,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JCE095CC213CF0474C,LNR-202608239,JOB-202601296,POOL-0001,hired,recommendation,RSM4669CD86F922430E,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC8E57B3F272994AF8,LNR-202605937,JOB-202601414,POOL-0004,hired,pool,RSMDF696EC96075473C,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JCF1483E7EFAB5451C,LNR-202606819,JOB-202602010,POOL-0001,offer,direct_apply,RSM106AF82F1C034CF0,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC818AF8A0DB7F43B0,LNR-202608666,JOB-202600198,POOL-0005,hired,recommendation,RSM590C5AFE2F5940A4,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC62F17525182342D5,LNR-202606324,JOB-202600288,POOL-0001,rejected,pool,RSM39447EBA441444DD,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JCF21031DD51294CA0,LNR-202606269,JOB-202602239,POOL-0004,rejected,pool,RSM4E399ADC09594D11,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC0B880A155BDD4FF3,LNR-202602124,JOB-202601233,POOL-0003,interview,direct_apply,RSM238F683CA23B46B6,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JCDA07942735B24158,LNR-202607619,JOB-202600960,POOL-0005,offer,direct_apply,RSM92EC0FF99AE64BFA,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC4687630F34A34A27,LNR-202600496,JOB-202601436,POOL-0004,rejected,recommendation,RSM1212CC33318545FD,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC61D65A5708EC48E2,LNR-202607645,JOB-202601085,POOL-0004,screening,pool,RSM01177AC1B4734BF2,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JC9A06E75CBB364BD7,LNR-202609062,JOB-202602883,POOL-0001,applied,pool,RSM1A84D9DAE8944852,,,,,False,,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
