PREFERENCE_ID,LEARNER_ID,POSITION,JOBTYPE,WORKTYPE,PROVINCE,DURINGWORK_ID,SALARY,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
PREF71CBCD41C44F4834,LNR-202600001,8,1,1,นนทบุรี,4,95502,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF337D3A94A0494F86,LNR-202600002,9,3,1,เชียงใหม่,1,91241,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF86C3A034B2F7481F,LNR-202600003,4,1,3,นครราชสีมา,7,45493,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREFF7078FCF9AF44F6A,LNR-202600004,3,5,3,ชลบุรี,6,40749,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREFC681BA1EC8E540F5,LNR-202600005,7,1,3,ภูเก็ต,2,105714,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF228F3D7CBBEB410E,LNR-202600006,8,1,5,เชียงใหม่,2,119529,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF17E6A45139994439,LNR-202600007,6,1,2,ขอนแก่น,4,102986,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF5EFAE1AEEAE94CFF,LNR-202600008,3,1,1,ชลบุรี,3,52095,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF0981F42FA28C40FD,LNR-202600009,10,1,3,เชียงใหม่,7,115717,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREFBF409404232147C9,LNR-202600010,10,1,3,ขอนแก่น,4,109552,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF2A98B2210415485D,LNR-202600011,5,3,4,เชียงใหม่,5,57170,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF2F5096B0583B47E2,LNR-202600012,7,1,1,ชลบุรี,2,67495,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREFE216D5BF1DAA4739,LNR-202600013,3,1,3,ชลบุรี,3,60036,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF01AA0FE2AA3144D7,LNR-202600014,7,1,2,เชียงใหม่,3,104296,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF1AF14E8B334840BC,LNR-202600015,10,1,5,ชลบุรี,1,123712,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF63EC63C4DC3E4521,LNR-202600016,8,3,1,ปทุมธานี,3,118079,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
PREF825055C42EA34A29,LNR-202600017,10,1,3,ชลบุรี,3,118491,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
