PREFERENCE_ID,LEARNER_ID,POSITION,JOBTYPE,WORKTYPE,PROVINCE,DURINGWORK_ID,SALARY,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
PREF71CBCD41C44F4834,LNR-202600001,4,1,2,กรุงเทพมหานคร,4,62000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF337D3A94A0494F86,LNR-202600002,10,3,4,ชลบุรี,3,57000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF86C3A034B2F7481F,LNR-202600003,10,2,1,สงขลา,7,74000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREFF7078FCF9AF44F6A,LNR-202600004,4,6,2,กรุงเทพมหานคร,6,59000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREFC681BA1EC8E540F5,LNR-202600005,1,1,5,กรุงเทพมหานคร,4,36000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF228F3D7CBBEB410E,LNR-202600006,5,3,4,ภูเก็ต,5,35000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF17E6A45139994439,LNR-202600007,2,3,4,ชลบุรี,2,64000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF5EFAE1AEEAE94CFF,LNR-202600008,10,3,3,เชียงใหม่,1,31000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF0981F42FA28C40FD,LNR-202600009,4,5,4,ชลบุรี,7,43000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREFBF409404232147C9,LNR-202600010,5,4,2,เชียงใหม่,4,28000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PREF2A98B2210415485D,LNR-202600011,8,4,4,ปทุมธานี,1,83000,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
