company_id,company_type,company_name_th,company_name_en,entity_id,address,sub_district_id,district_id,province_id,zipcode,logo_original_image,logo_image,banner_original_image,banner_image,business_type_id,specialty,organization_size,email,phone_no,company_website,facebook,twitter,line,Instagram,about_me,is_verified,created_by,created_at,updated_by,updated_at
COMP-202600001,เอกชน,กูเกิล (ประเทศไทย),Google Thailand,2357398687422,402 ถนนถ.บุนยะศัพท์,00014,0014,14,90110,logo_orig_COMP-202600001.png,logo_COMP-202600001.png,banner_orig_COMP-202600001.png,banner_COMP-202600001.png,1,Technology & Innovation,501-1000,contact@googlethailand.com,025098626,https://www.googlethailand.com,fb.com/googlethailand,@googlethailand,@googlethailand,@googlethailand,เราคือ กูเกิล (ประเทศไทย) มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600002,ต่างชาติ,เอสซีจี,SCG,7851364974333,884 ถนนถ.ตระกูลไม้เรียง,00012,0012,12,50230,logo_orig_COMP-202600002.png,logo_COMP-202600002.png,banner_orig_COMP-202600002.png,banner_COMP-202600002.png,4,Technology & Innovation,501-1000,contact@scg.com,027439533,https://www.scg.com,fb.com/scg,@scg,@scg,@scg,เราคือ เอสซีจี มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600003,เอกชน,ปตท.,PTT,0799168322508,403 ถนนถนนพรรษาสกุล,00001,0001,01,10330,logo_orig_COMP-202600003.png,logo_COMP-202600003.png,banner_orig_COMP-202600003.png,banner_COMP-202600003.png,1,Technology & Innovation,501-1000,contact@ptt.com,022082592,https://www.ptt.com,fb.com/ptt,@ptt,@ptt,@ptt,เราคือ ปตท. มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600004,ต่างชาติ,ไทยพาณิชย์,SCBX,2696622677961,374 ถนนถนนปรีชากุลเศรษฐ์,00010,0010,10,40000,logo_orig_COMP-202600004.png,logo_COMP-202600004.png,banner_orig_COMP-202600004.png,banner_COMP-202600004.png,5,Technology & Innovation,100-500,contact@scbx.com,021489079,https://www.scbx.com,fb.com/scbx,@scbx,@scbx,@scbx,เราคือ ไทยพาณิชย์ มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600005,มหาชน,อโกด้า,Agoda,5518471365594,809 ถนนถนนธรรมทินนา,00009,0009,09,30000,logo_orig_COMP-202600005.png,logo_COMP-202600005.png,banner_orig_COMP-202600005.png,banner_COMP-202600005.png,5,Technology & Innovation,1000+,contact@agoda.com,024114563,https://www.agoda.com,fb.com/agoda,@agoda,@agoda,@agoda,เราคือ อโกด้า มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600006,มหาชน,เอไอเอส,AIS,6581821949690,106 ถนนถนนเลิศกิ่ง,00009,0009,09,30000,logo_orig_COMP-202600006.png,logo_COMP-202600006.png,banner_orig_COMP-202600006.png,banner_COMP-202600006.png,4,Technology & Innovation,1000+,contact@ais.com,025582756,https://www.ais.com,fb.com/ais,@ais,@ais,@ais,เราคือ เอไอเอส มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600007,ต่างชาติ,ไลน์ (ประเทศไทย),LINE Thailand,6685091322613,607 ถนนถนนสังข์กรด,00013,0013,13,83000,logo_orig_COMP-202600007.png,logo_COMP-202600007.png,banner_orig_COMP-202600007.png,banner_COMP-202600007.png,4,Technology & Innovation,100-500,contact@linethailand.com,020900685,https://www.linethailand.com,fb.com/linethailand,@linethailand,@linethailand,@linethailand,เราคือ ไลน์ (ประเทศไทย) มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600008,ต่างชาติ,กสิกรไทย,KBTG,0820923283684,274 ถนนถนนศรีสัตย์,00002,0002,02,10330,logo_orig_COMP-202600008.png,logo_COMP-202600008.png,banner_orig_COMP-202600008.png,banner_COMP-202600008.png,2,Technology & Innovation,1000+,contact@kbtg.com,024790138,https://www.kbtg.com,fb.com/kbtg,@kbtg,@kbtg,@kbtg,เราคือ กสิกรไทย มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600009,ต่างชาติ,ทรู คอร์ปอเรชั่น,True Corporation,5166020701570,109 ถนนถ.ฉัตรอภิเที่ยงค่ำ,00009,0009,09,30000,logo_orig_COMP-202600009.png,logo_COMP-202600009.png,banner_orig_COMP-202600009.png,banner_COMP-202600009.png,2,Technology & Innovation,100-500,contact@truecorporation.com,023328646,https://www.truecorporation.com,fb.com/truecorporation,@truecorporation,@truecorporation,@truecorporation,เราคือ ทรู คอร์ปอเรชั่น มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
COMP-202600010,ต่างชาติ,บางจาก,Bangchak,5826574360491,155 ถนนถนนถนัดหัตถกรรม,00008,0008,08,20150,logo_orig_COMP-202600010.png,logo_COMP-202600010.png,banner_orig_COMP-202600010.png,banner_COMP-202600010.png,3,Technology & Innovation,1000+,contact@bangchak.com,024039791,https://www.bangchak.com,fb.com/bangchak,@bangchak,@bangchak,@bangchak,เราคือ บางจาก มุ่งเน้นการเป็นผู้นำด้านนวัตกรรมระดับภูมิภาค,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
